,age,c_charge_degree,score_text,sex,priors_count,African-American,Asian,Caucasian,Hispanic,Native American,Other
239,37,0,1,1,3,0,0,1,0,0,0
240,70,1,1,1,1,0,0,1,0,0,0
241,46,0,1,1,3,0,0,1,0,0,0
242,21,1,0,1,0,1,0,0,0,0,0
243,26,1,0,1,1,1,0,0,0,0,0
244,38,0,1,1,3,0,0,0,1,0,0
245,34,1,1,1,5,0,0,1,0,0,0
246,34,1,1,1,5,1,0,0,0,0,0
247,23,0,1,1,0,0,0,1,0,0,0
248,34,0,1,1,5,1,0,0,0,0,0
249,39,0,1,1,6,1,0,0,0,0,0
250,24,0,1,1,0,0,0,0,0,0,1
251,58,0,1,1,2,0,0,1,0,0,0
252,21,1,1,0,0,1,0,0,0,0,0
253,23,1,0,1,4,1,0,0,0,0,0
254,62,0,1,1,0,0,0,1,0,0,0
255,37,0,1,1,5,0,0,1,0,0,0
256,43,0,1,1,2,0,0,0,0,0,1
257,32,0,1,0,5,1,0,0,0,0,0
258,23,0,1,1,0,0,0,0,1,0,0
259,27,1,1,1,0,1,0,0,0,0,0
260,44,1,1,1,0,0,0,1,0,0,0
261,28,1,1,1,3,0,0,1,0,0,0
262,42,0,1,0,0,0,0,1,0,0,0
263,24,0,0,1,9,0,0,0,0,0,1
264,27,0,1,1,0,1,0,0,0,0,0
265,20,0,0,1,0,1,0,0,0,0,0
266,51,1,1,0,0,0,0,1,0,0,0
267,56,1,1,1,0,0,0,1,0,0,0
268,29,0,0,1,7,1,0,0,0,0,0
269,20,0,0,1,0,1,0,0,0,0,0
270,27,0,1,1,8,0,0,1,0,0,0
271,24,0,0,1,2,1,0,0,0,0,0
272,53,0,1,1,36,0,0,1,0,0,0
273,28,1,1,1,2,0,0,1,0,0,0
274,21,0,1,1,3,0,0,0,1,0,0
275,36,0,1,0,0,1,0,0,0,0,0
276,25,1,1,0,2,0,0,1,0,0,0
277,23,1,1,0,1,0,0,0,1,0,0
278,28,0,1,1,1,0,0,1,0,0,0
279,21,0,0,0,0,1,0,0,0,0,0
280,36,1,1,1,0,0,0,1,0,0,0
281,24,0,1,1,0,1,0,0,0,0,0
282,30,0,1,1,1,0,0,0,0,0,1
283,29,0,1,1,0,1,0,0,0,0,0
284,30,1,1,0,0,0,0,1,0,0,0
285,51,1,1,1,1,0,0,0,1,0,0
286,32,0,0,1,12,1,0,0,0,0,0
287,23,0,1,1,1,1,0,0,0,0,0
288,47,0,1,1,3,1,0,0,0,0,0
289,37,0,1,1,0,0,0,1,0,0,0
290,19,0,0,1,2,1,0,0,0,0,0
291,27,1,0,1,0,0,0,0,1,0,0
292,39,1,1,1,0,0,0,0,0,0,1
293,21,0,1,0,0,0,0,1,0,0,0
294,69,1,1,1,0,0,0,1,0,0,0
295,21,0,1,1,2,0,0,1,0,0,0
296,26,1,0,1,6,1,0,0,0,0,0
297,22,0,1,1,0,0,0,1,0,0,0
298,23,0,1,0,0,1,0,0,0,0,0
299,49,0,1,1,3,1,0,0,0,0,0
300,29,1,1,1,2,1,0,0,0,0,0
301,60,1,1,0,0,0,0,1,0,0,0
302,23,0,0,1,3,1,0,0,0,0,0
303,20,0,1,0,1,0,0,0,0,0,1
304,36,0,1,1,1,0,0,0,1,0,0
305,30,0,1,1,0,0,0,1,0,0,0
306,21,0,1,1,1,1,0,0,0,0,0
307,22,1,1,1,2,0,0,1,0,0,0
308,21,0,0,1,4,1,0,0,0,0,0
309,21,0,1,1,0,1,0,0,0,0,0
310,34,1,1,1,1,0,0,1,0,0,0
311,50,1,1,0,1,0,0,1,0,0,0
312,40,0,1,1,0,0,0,1,0,0,0
313,25,0,0,1,7,1,0,0,0,0,0
314,53,1,1,0,1,0,0,1,0,0,0
315,24,0,1,0,0,1,0,0,0,0,0
316,42,0,1,1,1,1,0,0,0,0,0
317,28,1,1,1,1,1,0,0,0,0,0
318,26,0,0,1,6,1,0,0,0,0,0
319,22,0,0,1,4,1,0,0,0,0,0
320,21,1,1,1,3,0,0,1,0,0,0
321,37,0,0,1,23,1,0,0,0,0,0
322,35,0,1,1,2,1,0,0,0,0,0
323,53,0,1,1,2,1,0,0,0,0,0
324,29,0,1,1,7,1,0,0,0,0,0
325,48,0,0,1,23,0,0,1,0,0,0
326,52,1,1,0,0,0,0,1,0,0,0
327,27,0,0,1,12,1,0,0,0,0,0
328,28,0,0,1,5,1,0,0,0,0,0
329,33,1,1,1,3,0,0,1,0,0,0
330,28,0,1,0,0,0,0,0,1,0,0
331,36,0,1,1,14,1,0,0,0,0,0
332,29,0,1,1,2,1,0,0,0,0,0
333,22,1,0,1,0,1,0,0,0,0,0
334,25,0,1,1,0,0,0,1,0,0,0
335,56,0,1,1,5,1,0,0,0,0,0
336,27,0,0,1,9,1,0,0,0,0,0
337,52,0,1,1,4,0,0,1,0,0,0
338,32,0,1,1,3,1,0,0,0,0,0
339,60,0,1,1,4,0,0,0,0,0,1
340,23,1,1,1,1,0,0,0,1,0,0
341,39,1,1,0,0,0,0,1,0,0,0
342,56,1,1,1,0,0,0,1,0,0,0
343,22,0,1,0,0,1,0,0,0,0,0
344,53,0,1,1,11,1,0,0,0,0,0
345,25,1,1,1,0,0,0,1,0,0,0
346,21,1,1,1,0,0,0,0,1,0,0
347,22,0,1,1,0,0,0,1,0,0,0
348,58,1,1,0,2,0,0,1,0,0,0
349,31,1,1,1,7,1,0,0,0,0,0
350,22,0,1,1,1,0,0,1,0,0,0
351,28,0,1,1,8,1,0,0,0,0,0
352,42,0,1,1,1,0,0,0,0,0,1
353,20,0,1,1,0,1,0,0,0,0,0
354,29,1,1,1,0,0,0,1,0,0,0
355,58,1,1,1,21,1,0,0,0,0,0
356,22,0,1,1,3,1,0,0,0,0,0
357,48,1,1,1,1,0,0,0,1,0,0
358,37,0,1,1,0,0,0,1,0,0,0
359,57,0,1,1,1,1,0,0,0,0,0
360,27,1,1,1,3,0,0,1,0,0,0
361,26,0,1,1,3,1,0,0,0,0,0
362,24,0,0,1,3,0,0,1,0,0,0
363,33,0,1,1,0,0,0,1,0,0,0
364,29,0,1,1,2,1,0,0,0,0,0
365,24,0,0,0,3,1,0,0,0,0,0
366,19,0,0,1,1,0,0,1,0,0,0
367,36,1,1,1,2,0,0,1,0,0,0
368,24,0,1,0,0,0,0,1,0,0,0
369,34,1,1,1,0,0,0,1,0,0,0
370,25,0,1,1,2,0,0,0,1,0,0
371,20,0,0,1,1,1,0,0,0,0,0
372,24,1,1,1,1,1,0,0,0,0,0
373,61,0,1,1,4,0,0,1,0,0,0
374,50,0,1,0,3,1,0,0,0,0,0
375,30,1,1,1,1,1,0,0,0,0,0
376,38,0,1,1,5,1,0,0,0,0,0
377,24,1,1,1,0,0,0,1,0,0,0
378,46,0,0,0,2,1,0,0,0,0,0
379,41,1,1,1,0,0,0,1,0,0,0
380,20,0,0,1,0,0,0,0,0,0,1
381,27,1,0,1,13,1,0,0,0,0,0
382,26,1,1,1,1,1,0,0,0,0,0
383,29,0,1,1,3,1,0,0,0,0,0
384,52,0,1,1,6,0,0,1,0,0,0
385,28,0,1,1,1,0,0,1,0,0,0
386,55,0,1,1,5,1,0,0,0,0,0
387,26,0,0,1,10,1,0,0,0,0,0
388,28,0,0,1,5,1,0,0,0,0,0
389,63,0,1,1,2,0,0,1,0,0,0
390,42,0,1,1,0,1,0,0,0,0,0
391,23,0,1,1,6,1,0,0,0,0,0
392,54,0,0,1,28,1,0,0,0,0,0
393,35,0,1,1,8,1,0,0,0,0,0
394,24,0,0,0,6,1,0,0,0,0,0
395,54,1,1,1,2,1,0,0,0,0,0
396,58,1,1,1,12,1,0,0,0,0,0
397,23,1,1,1,1,0,0,1,0,0,0
398,35,1,1,1,1,1,0,0,0,0,0
399,20,0,0,1,1,1,0,0,0,0,0
400,51,0,1,1,0,0,0,1,0,0,0
401,24,0,0,1,0,0,0,0,1,0,0
402,37,0,1,1,3,0,0,1,0,0,0
403,47,0,1,1,3,0,0,1,0,0,0
404,34,0,1,1,4,0,0,1,0,0,0
405,56,0,1,1,0,0,0,1,0,0,0
406,34,0,1,1,4,0,0,0,1,0,0
407,59,0,1,1,1,0,0,1,0,0,0
408,35,0,1,1,0,0,1,0,0,0,0
409,58,0,1,1,1,0,0,0,1,0,0
410,29,1,1,1,2,0,0,0,1,0,0
411,24,0,0,0,6,0,0,1,0,0,0
412,21,1,0,1,2,0,0,1,0,0,0
413,50,0,1,1,5,0,1,0,0,0,0
414,26,0,1,1,1,1,0,0,0,0,0
415,30,1,1,0,0,0,0,1,0,0,0
416,29,1,1,1,0,0,0,1,0,0,0
417,54,1,1,1,0,1,0,0,0,0,0
418,29,0,1,1,4,1,0,0,0,0,0
419,59,1,1,0,0,0,0,1,0,0,0
420,38,0,1,1,0,1,0,0,0,0,0
421,27,1,1,1,1,0,0,1,0,0,0
422,26,0,1,1,7,0,0,0,1,0,0
423,52,0,1,1,20,0,0,0,1,0,0
424,66,0,1,1,33,1,0,0,0,0,0
425,27,0,1,1,2,0,0,1,0,0,0
426,51,1,1,1,1,0,0,1,0,0,0
427,35,0,1,1,1,0,0,1,0,0,0
428,52,1,1,1,4,0,0,1,0,0,0
429,48,0,1,1,12,0,0,0,0,0,1
430,26,1,1,0,0,1,0,0,0,0,0
431,48,1,1,0,0,0,0,1,0,0,0
432,30,1,1,1,7,0,0,0,1,0,0
433,28,1,1,1,2,0,0,0,0,0,1
434,33,1,1,1,2,1,0,0,0,0,0
435,34,0,1,0,6,1,0,0,0,0,0
436,25,1,1,1,0,0,0,0,0,0,1
437,59,0,1,1,10,1,0,0,0,0,0
438,29,0,1,1,5,1,0,0,0,0,0
439,24,0,1,1,0,0,0,1,0,0,0
440,48,0,1,1,1,0,0,1,0,0,0
441,52,1,1,1,4,1,0,0,0,0,0
442,20,0,1,1,0,1,0,0,0,0,0
443,25,0,1,1,4,0,0,1,0,0,0
444,24,0,1,1,0,0,0,1,0,0,0
445,23,1,0,1,0,0,0,1,0,0,0
446,27,0,1,1,6,0,0,1,0,0,0
447,25,1,1,1,1,1,0,0,0,0,0
448,31,0,1,1,0,1,0,0,0,0,0
449,25,0,1,1,6,1,0,0,0,0,0
450,32,0,1,1,1,0,0,1,0,0,0
451,21,0,1,1,0,0,0,1,0,0,0
452,37,0,1,1,1,0,0,0,0,0,1
453,25,0,1,1,0,0,0,1,0,0,0
454,32,0,0,1,20,0,0,0,1,0,0
455,35,0,1,1,0,1,0,0,0,0,0
456,42,0,1,1,14,1,0,0,0,0,0
457,24,1,0,1,9,0,0,1,0,0,0
458,21,0,1,1,0,0,0,0,1,0,0
459,47,1,1,1,1,0,0,1,0,0,0
460,27,0,0,1,5,1,0,0,0,0,0
461,43,1,1,1,2,0,0,0,1,0,0
462,46,0,1,1,2,0,0,1,0,0,0
463,44,1,1,1,1,1,0,0,0,0,0
464,23,0,1,1,2,0,0,1,0,0,0
465,42,0,1,1,8,1,0,0,0,0,0
466,58,0,1,1,6,1,0,0,0,0,0
467,26,0,1,1,3,1,0,0,0,0,0
468,48,0,1,0,0,0,0,0,0,0,1
469,39,0,1,1,3,1,0,0,0,0,0
470,21,0,1,1,3,1,0,0,0,0,0
471,63,1,1,1,1,0,0,1,0,0,0
472,22,0,1,1,3,1,0,0,0,0,0
473,50,1,1,1,3,1,0,0,0,0,0
474,38,0,1,1,0,1,0,0,0,0,0
475,41,0,1,1,1,0,0,1,0,0,0
476,28,0,0,1,16,1,0,0,0,0,0
477,30,1,1,0,0,1,0,0,0,0,0
478,23,0,1,1,1,1,0,0,0,0,0
479,25,0,1,1,2,0,0,1,0,0,0
480,40,0,1,1,5,0,0,1,0,0,0
481,24,0,0,1,8,0,0,0,1,0,0
482,27,1,1,1,5,1,0,0,0,0,0
483,44,1,1,1,11,0,0,1,0,0,0
484,35,0,1,0,6,1,0,0,0,0,0
485,42,1,1,1,0,0,0,1,0,0,0
486,38,0,1,1,15,1,0,0,0,0,0
487,26,0,1,1,4,0,0,0,1,0,0
488,25,1,1,0,0,1,0,0,0,0,0
489,64,0,1,1,1,0,0,0,1,0,0
490,49,1,1,0,2,0,0,1,0,0,0
491,50,0,1,1,5,0,0,1,0,0,0
492,66,1,1,1,0,0,0,1,0,0,0
493,46,1,1,0,0,0,0,1,0,0,0
494,30,0,1,1,5,1,0,0,0,0,0
495,22,1,1,0,0,0,0,1,0,0,0
496,23,1,1,1,1,0,0,1,0,0,0
497,30,1,1,1,0,0,0,0,0,0,1
498,31,1,1,1,0,0,0,0,1,0,0
499,31,0,1,1,1,0,0,0,0,0,1
500,25,1,1,1,0,1,0,0,0,0,0
501,21,0,1,0,0,0,0,1,0,0,0
502,27,1,1,1,0,1,0,0,0,0,0
503,20,1,1,1,0,0,0,0,1,0,0
504,32,0,1,1,1,0,0,0,1,0,0
505,24,0,1,0,0,0,0,1,0,0,0
506,20,0,1,1,1,1,0,0,0,0,0
507,31,1,0,1,3,1,0,0,0,0,0
508,27,1,1,1,3,1,0,0,0,0,0
509,40,0,1,1,0,1,0,0,0,0,0
510,22,0,0,1,11,1,0,0,0,0,0
511,38,0,1,0,1,1,0,0,0,0,0
512,36,1,0,1,1,0,0,0,1,0,0
513,30,1,1,1,1,1,0,0,0,0,0
514,27,0,1,1,6,0,0,1,0,0,0
515,59,1,1,0,0,0,0,1,0,0,0
516,37,1,1,1,2,0,0,1,0,0,0
517,28,1,1,1,5,1,0,0,0,0,0
518,38,0,1,1,0,0,0,1,0,0,0
519,22,0,0,1,0,1,0,0,0,0,0
520,25,0,1,1,4,1,0,0,0,0,0
521,51,1,1,1,0,0,0,1,0,0,0
522,29,1,1,1,2,0,0,1,0,0,0
523,28,0,1,1,10,1,0,0,0,0,0
524,55,1,1,1,9,1,0,0,0,0,0
525,23,0,0,0,3,0,0,1,0,0,0
526,22,1,1,0,0,1,0,0,0,0,0
527,19,0,0,0,2,0,0,1,0,0,0
528,31,1,1,1,1,1,0,0,0,0,0
529,29,1,1,1,0,1,0,0,0,0,0
530,61,0,1,1,15,1,0,0,0,0,0
531,31,1,1,1,0,0,0,0,1,0,0
532,20,0,0,1,4,1,0,0,0,0,0
533,26,0,1,1,3,0,0,1,0,0,0
534,27,1,0,1,5,0,0,1,0,0,0
535,25,0,1,1,1,0,0,1,0,0,0
536,23,0,1,1,3,0,0,1,0,0,0
537,38,0,1,1,0,1,0,0,0,0,0
538,27,0,0,1,18,1,0,0,0,0,0
539,35,0,1,0,0,0,0,1,0,0,0
540,22,0,0,1,0,0,0,0,0,0,1
541,58,0,1,0,4,1,0,0,0,0,0
542,57,1,1,0,0,0,0,1,0,0,0
543,21,0,1,1,0,1,0,0,0,0,0
544,22,0,0,0,0,1,0,0,0,0,0
545,30,0,1,1,0,1,0,0,0,0,0
546,30,0,0,1,8,1,0,0,0,0,0
547,31,0,1,0,10,1,0,0,0,0,0
548,45,0,1,0,1,0,0,1,0,0,0
549,39,0,1,1,2,0,0,1,0,0,0
550,31,0,0,1,0,1,0,0,0,0,0
551,22,0,1,1,1,1,0,0,0,0,0
552,27,0,1,1,13,1,0,0,0,0,0
553,38,0,1,1,1,0,0,1,0,0,0
554,31,0,0,1,23,1,0,0,0,0,0
555,47,0,0,1,20,1,0,0,0,0,0
556,22,0,1,1,3,1,0,0,0,0,0
557,35,1,0,1,1,1,0,0,0,0,0
558,23,1,1,1,2,0,0,0,1,0,0
559,65,1,1,1,2,1,0,0,0,0,0
560,35,1,1,1,0,1,0,0,0,0,0
561,33,0,1,0,0,1,0,0,0,0,0
562,53,1,1,1,1,0,0,1,0,0,0
563,52,0,1,1,0,0,0,0,1,0,0
564,21,0,1,1,0,1,0,0,0,0,0
565,37,0,1,1,11,1,0,0,0,0,0
566,30,1,0,1,4,0,0,0,0,0,1
567,54,0,1,1,0,0,0,0,0,0,1
568,31,1,1,0,0,1,0,0,0,0,0
569,59,0,1,0,2,0,0,1,0,0,0
570,27,1,1,1,0,1,0,0,0,0,0
571,36,1,1,1,0,1,0,0,0,0,0
572,46,0,0,1,17,1,0,0,0,0,0
573,22,0,0,1,3,1,0,0,0,0,0
574,28,1,1,0,0,0,0,1,0,0,0
575,34,0,0,0,15,0,0,1,0,0,0
576,29,0,0,1,7,0,0,0,1,0,0
577,23,1,0,1,2,1,0,0,0,0,0
578,27,0,1,1,3,1,0,0,0,0,0
